	name	skills
947	Cynthia Vanakin	"[""operate a camera"", ""carry out auditions"", ""carry out interviews to select artistic team members"", ""search databases"", ""search databases"", ""personal directing styles"", ""maintain wood thickness"", ""manage contracts"", ""classify insurance claims"", ""assure quality of tobacco leaves"", ""organise auditions"", ""personal directing styles"", ""film production process"", ""receive actors' resumes"", ""carry out auditions""]"
948	Herb Walling	"[""organisational policies"", ""integrate strategic foundation in daily performance"", ""follow the statutory obligations"", ""prepare printing form"", ""strategic planning"", ""management department processes"", ""identify undetected organisational needs"", ""liaise with managers"", ""provide information on geothermal heat pumps"", ""Android (mobile operating systems)"", ""advise on financial matters"", ""promote organisational communication"", ""organisational policies"", ""impart business plans to collaborators"", ""evaluate performance of organisational collaborators""]"
949	Matthew Carpenter	"[""coordinate engineering teams"", ""coordinate engineering teams"", ""automation technology"", ""precision mechanics"", ""CAE software"", ""collect fees for toilet usage"", ""maintain safe engineering watches"", ""coordinate engineering teams"", ""carry out routine maintenance of wood cutting machinery"", ""abide by regulations on banned materials"", ""biomedical engineering"", ""provide technical documentation"", ""analyse test data"", ""interact verbally in Serbian"", ""perform scientific research""]"
950	Kelsey Burgos	"[""adolescent psychological development"", ""liaise with educational staff"", ""publish academic research"", ""education law"", ""manage troop deployment"", ""transfer kiln-baked products"", ""consult student's support system"", ""monitor student's behaviour"", ""conduct psychological research"", ""consult student's support system"", ""school psychology"", ""listen actively"", ""keep up to date with subject knowledge"", ""monitor therapeutic progress"", ""musical instruments materials""]"
951	Terrell Mcdonald	"[""select filler metal"", ""inspect quality of products"", ""remove inadequate workpieces"", ""produce customised products"", ""supply machine"", ""filing machine parts"", ""treat scalp conditions"", ""produce customised products"", ""apply precision metalworking techniques"", ""remove inadequate workpieces"", ""smooth burred surfaces"", ""use sound measuring instruments"", ""remove processed workpiece"", ""remove inadequate workpieces"", ""manipulate plastic""]"
952	Dorothy Nagel	"[""set up the controller of a machine"", ""implement short term objectives"", ""operate hoists"", ""materials of die"", ""set up the controller of a machine"", ""emboss designs"", ""consult technical resources"", ""wear appropriate protective gear"", ""lottery company policies"", ""provide department schedule for staff"", ""materials of die"", ""follow production schedule"", ""monitor gauge"", ""operate hoists"", ""troubleshoot""]"
953	Bridget Wanty	"[""audio technology"", ""advise on foreign affairs policies"", ""foreign affairs"", ""observe new developments in foreign countries"", ""write scientific papers"", ""analyse foreign affairs policies"", ""statistics"", ""political parties"", ""foreign affairs"", ""analyse foreign affairs policies"", ""statistics"", ""pack goods"", ""apply statistical analysis techniques"", ""advise on foreign affairs policies"", ""diagnose heart conditions""]"
954	Thomas Eyre	"[""inspect fish stock"", ""engage with offenders"", ""instruct on the use of special equipment for daily activities"", ""deliver social services in diverse cultural communities"", ""deliver social services in diverse cultural communities"", ""apply person-centred care"", ""promote inclusion"", ""assess clients' drug and alcohol addictions"", ""employ foreign languages in care"", ""communication"", ""consultation"", ""apply crisis intervention"", ""apply person-centred care"", ""work as a team in a hazardous environment"", ""identify mental health issues""]"
955	Anita Pablo	"[""communicate with customers"", ""develop management plans to reduce risks in aquaculture"", ""maintain grading equipment"", ""transport fish"", ""understand written Georgian"", ""prevent work accidents"", ""promote employment policy"", ""work in inclement conditions"", ""sell tourist packages"", ""support veterinary diagnostic procedures"", ""provide training"", ""animal welfare legislation"", ""use communication devices"", ""develop management plans to reduce risks in aquaculture"", ""conduct fish mortality studies""]"
956	Ashly Raley	"[""mix chemicals"", ""techniques of blood-sampling"", ""laboratory techniques"", ""techniques of blood-sampling"", ""work with chemicals"", ""maintain healthcare user data confidentiality"", ""perform sample testing"", ""build fences"", ""create cooperation modalities"", ""histopathology"", ""carry out quality control in microbiology laboratories"", ""microscopic techniques"", ""microbiology-bacteriology"", ""report test findings"", ""personnel planning in emergency response""]"
957	Brad Richardson	"[""create breakdown notices"", ""composition of diets"", ""maintain control systems for automated equipment"", ""optimise production"", ""sensors"", ""set up the controller of a machine"", ""supply machine with appropriate tools"", ""maintain robotic equipment"", ""perform risk analysis"", ""administer materials to tea bag machines"", ""CAD software"", ""perform risk analysis"", ""perform risk analysis"", ""CAE software"", ""set up machine controls""]"
958	Timothy Cowboy	"[""manipulate plastic"", ""prosthetic-orthotic examination"", ""prosthetic-orthotic examination"", ""musculoskeletal anatomy"", ""use casts of body parts"", ""biomedical engineering"", ""biomedical engineering"", ""manufacture prosthetic-orthotic devices"", ""manufacture prosthetic-orthotic devices"", ""stay up-to-date with current events"", ""use of special equipment for daily activities"", ""orthotic devices"", ""give battle commands"", ""human anatomy"", ""advise on landscapes""]"
959	Melodie Hartley	"[""recognise signs of wood rot"", ""perform tree thinning"", ""operate wood sawing equipment"", ""char barrels"", ""store products"", ""perform machine maintenance"", ""teach nursing principles"", ""wood cuts"", ""manufacture of wooden barrels"", ""prepare broadcasts"", ""finish barrels"", ""assemble barrels"", ""store products"", ""operate drilling equipment"", ""answer requests for quotation""]"
960	Zelda Marrara	"[""liaise with educational institutions"", ""mix moulding and casting material"", ""tie tobacco leaves in hands"", ""keep records of work progress"", ""move filled moulds"", ""plastic welding"", ""optimise production processes parameters"", ""consult technical resources"", ""mix moulding and casting material"", ""feed hoppers"", ""jewellery processes"", ""optimise production processes parameters"", ""use caulking tools"", ""set up the controller of a machine"", ""types of waxes""]"
961	Patrick Villarreal	"[""perform street cleaning manually"", ""handle chemical cleaning agents"", ""operate motorised street sweeping machine"", ""select restoration activities"", ""use personal protection equipment"", ""perform cleaning activities in an outdoor environment"", ""perform cleaning activities in an environmentally friendly way"", ""adapt to different weather conditions"", ""interact verbally in Romanian"", ""carry out cleaning of road drains"", ""complete report sheets of activity"", ""discharge of collected waste"", ""implement plans for the management of sports turf areas"", ""carry out cleaning of road drains"", ""mechanics""]"
962	Lorna Holm	"[""take drive-through orders"", ""monitor temperature in manufacturing process of food and beverages"", ""transportation methods"", ""principles of cargo stowage"", ""handle freight inspection equipment"", ""handle freight inspection equipment"", ""analyse work-related written reports"", ""keep task records"", ""use rigging tools"", ""have computer literacy"", ""conduct examination processes for apprentices"", ""redistribute wagered money"", ""monitor temperature in manufacturing process of food and beverages"", ""show confidence"", ""keep task records""]"
963	Daisy Schaffert	"[""support service users in developing skills"", ""build helping relationship with social service users"", ""Swedish"", ""meet standards of practice in social services"", ""encourage social service users to preserve their independence in their daily activities"", ""involve service users and carers in care planning"", ""handle conflicts"", ""apply organisational techniques"", ""undertake risk assessment of clients"", ""support service users to use technological aids"", ""understand written Persian"", ""undertake continuous professional development in social work"", ""provide social counselling"", ""sell academic books"", ""delegate activities""]"
964	Robert Dergance	"[""intellectual property law"", ""trade securities"", ""apply strategic thinking"", ""strategic planning"", ""serve food in table service"", ""apply strategic thinking"", ""business law"", ""estimate value of used goods"", ""trade securities"", ""business law"", ""perform asset recognition"", ""business law"", ""investment analysis"", ""perform escalation procedure"", ""perform image editing""]"
965	Robert Jett	"[""manage a small-to-medium business"", ""safe use of pesticides"", ""safe use of pesticides"", ""herbicides"", ""perform pest control"", ""select hazard control"", ""avoid contamination"", ""maintain inventory of pesticides"", ""use personal protection equipment"", ""apply safety procedures in laboratory"", ""follow client animal handling programme"", ""handle chemical products for soil and plants"", ""handle chemical products for soil and plants"", ""aircraft mechanics"", ""environmental engineering""]"
966	Kim Newton	"[""secure sensitive customer's information"", ""show diplomacy"", ""communicate with customers"", ""calculate debt costs"", ""support people with hearing impairment"", ""assess customers"", ""understand written Ukrainian"", ""communicate with customers"", ""keep task records"", ""assess customers"", ""civil process order"", ""meet deadlines"", ""law of obligation"", ""automated analysers in the medical laboratory"", ""use communication techniques""]"
967	Eleanor Isaac	"[""SPARQL"", ""create concept of digital game"", ""levels of software testing"", ""test electromechanical systems"", ""query languages"", ""conduct research interview"", ""manage schedule of tasks"", ""support witnesses"", ""SPARQL"", ""use markup languages"", ""query languages"", ""conduct research interview"", ""SPARQL"", ""test system accessibility for users with special needs"", ""use markup languages""]"
968	Thomas Williams	"[""lead a team"", ""ensure visual quality of the set"", ""conduct water navigation"", ""oversee shipment routing"", ""draw up stage layouts digitally"", ""use communication equipment"", ""store performance equipment"", ""draw up artistic production"", ""coach staff for running the performance"", ""maintain moving constructions on stage"", ""set up equipment in a timely manner"", ""draw up artistic production"", ""provide documentation"", ""public offering"", ""use technical documentation""]"
969	Amparo Chavez	"[""tend spinning machines"", ""financial analysis"", ""plan resource allocation"", ""analyse legislation"", ""perform resource planning"", ""perform resource planning"", ""create solutions to problems"", ""perform market research"", ""analyse legislation"", ""Adobe Photoshop Lightroom"", ""advise on tax policy"", ""analyse market financial trends"", ""manage government funding"", ""manage discarded products"", ""present reports""]"
970	Winifred Alvarez	"[""detect flaws in rails"", ""write inspection reports"", ""use stonemason's chisel"", ""ensure safe operation of railway during repairs"", ""perform rail operations risk management"", ""identify preventive actions"", ""monitor work site"", ""monitor ingredient storage"", ""ensure public safety and security"", ""analyse environmental data"", ""write rail defect records"", ""quality assurance procedures"", ""assess railway operations"", ""enforce railway safety regulations"", ""create fragrances formulae""]"
971	Shonda Williams	"[""organise mail deliveries"", ""establish daily priorities"", ""keep records of customer interaction"", ""handle mail"", ""handle mail"", ""maintain privacy of service users"", ""apply health and safety standards"", ""handle mail"", ""keep stock records"", ""act reliably"", ""follow-up lab results"", ""radiological photography"", ""liaise with colleagues"", ""apply information security policies"", ""use different communication channels""]"
972	Kathleen Farmer	"[""leather goods manufacturing processes"", ""sketch leather goods"", ""leather goods materials"", ""use communication techniques"", ""interpret data in food manufacturing"", ""leather goods components"", ""sketch leather goods"", ""sketch leather goods"", ""reduce environmental impact of footwear manufacturing"", ""post-process meat"", ""apply development process to footwear design"", ""prepare leather goods samples"", ""acoustical engineering"", ""leather goods components"", ""leather goods components""]"
973	James Johnson	"[""sew pieces of fabric"", ""manufacture personal protective equipment made of textile"", ""operate garment manufacturing machines"", ""adhere to questionnaires"", ""manufacturing of wearing apparel"", ""distinguish accessories"", ""apparel manufacturing technology"", ""instruct public"", ""pre-stitching processes and techniques for footwear and leather goods"", ""embroider fabrics"", ""alter wearing apparel"", ""apparel manufacturing technology"", ""alter wearing apparel"", ""manufacture wearing apparel products"", ""distinguish accessories""]"
974	Isaias Parks	"[""tend winding machines"", ""manufacture woven fabrics"", ""distinguish fabrics"", ""evaluate textile characteristics"", ""manufacture woven fabrics"", ""nonwoven machine technology"", ""knitting machine technology"", ""dyeing technology"", ""deliver fertiliser"", ""manufacture non-woven filament products"", ""use warp knitting technologies"", ""construct coquilles"", ""conduct textile testing operations"", ""knitting machine technology"", ""use warp knitting technologies""]"
975	James Perez	"[""apply soldering techniques"", ""design drawings"", ""fasten components"", ""create semantic trees"", ""CAD software"", ""mechanical engineering"", ""program firmware"", ""update procedure instructions"", ""read standard blueprints"", ""program firmware"", ""work safely with machines"", ""apply socially just working principles"", ""assemble machines"", ""assemble electrical components"", ""apply soldering techniques""]"
976	Joseph Boles	"[""write Croatian"", ""epigraphy"", ""organise storage facilities"", ""maintain store cleanliness"", ""process refunds"", ""provide customer guidance on product selection"", ""examine merchandise"", ""weigh fruits and vegetables"", ""use fruit and vegetables processing machinery"", ""identify customer's needs"", ""prevent shoplifting"", ""maintain information network hardware"", ""cold chain"", ""provide customer follow-up services"", ""organise product display""]"
977	Elmira Heister	"[""perform data analysis"", ""provide railway technical advice"", ""execute analytical mathematical calculations"", ""plan self-organisation"", ""oversee the design of touristic publications"", ""plan self-organisation"", ""execute analytical mathematical calculations"", ""clean stalls"", ""green logistics"", ""use specific data analysis software"", ""online analytical processing"", ""detect bottlenecks"", ""think analytically"", ""analyse supply chain strategies"", ""use different communication channels""]"
978	Ann Christopher	"[""follow up awarded grants"", ""apply grammar and spelling rules"", ""create online news content"", ""manage online content"", ""operate fire extinguishers"", ""study topics"", ""use specific writing techniques"", ""edit photographs"", ""manage online content"", ""work with video and motion picture production team"", ""perform video editing"", ""interview techniques"", ""social media management"", ""manage personal finances"", ""perform video editing""]"
979	Brandie Rodman	"[""assist audiologists with screening"", ""schedule audiologist appointments"", ""ensure quality assurance for pharmaceutical products"", ""conduct textile testing operations"", ""schedule audiologist appointments"", ""hearing loss"", ""conduct gambling games"", ""types of audiological equipment"", ""geriatrics"", ""advise customers on hearing aids"", ""communication related to hearing impairment"", ""comply with legislation related to health care"", ""communication related to hearing impairment"", ""comply with legislation related to health care"", ""use e-health and mobile health technologies""]"
980	Esther Grove	"[""historic architecture"", ""communicate with local residents"", ""provide cost benefit analysis reports"", ""landscape design"", ""report anomalies in aircraft interiors"", ""historic architecture"", ""flower and plant products"", ""civil engineering"", ""systems development life-cycle"", ""characteristics of waste"", ""build a product's physical model"", ""green space strategies"", ""energy performance of buildings"", ""landscape analysis"", ""flower and plant products""]"
981	Michael Jablonski	"[""aviation meteorology"", ""conduct aviation fuel servicing operations"", ""read maps"", ""create a flight plan"", ""ensure compliance with civil aviation regulations"", ""analyse work-related written reports"", ""read 3D displays"", ""give instructions to staff"", ""install deicing boot"", ""maintain counterweight inside modes of transport"", ""maintain costumes"", ""give instructions to staff"", ""create a flight plan"", ""geographic areas"", ""air traffic control operations""]"
982	Juan Yearout	"[""maintain counterweight inside modes of transport"", ""geographic areas"", ""perform risk analysis"", ""undertake procedures to meet aircraft flight requirements"", ""ensure ongoing compliance with regulations"", ""write work-related reports"", ""perform take off and landing"", ""perform risk analysis"", ""perform routine flight operations checks"", ""airport planning"", ""lead the brand strategic planning process"", ""operate railway communication systems"", ""pre-flight procedures for IFR flights"", ""supervise court hearings"", ""respond to changing navigation circumstances""]"
983	Mark Roberson	"[""monitor event activities"", ""child protection"", ""work in a land-based team"", ""recreation activities"", ""promote inclusion"", ""primary school procedures"", ""support children's wellbeing"", ""outdoor activities"", ""understand spoken Hindi"", ""pultrusion process"", ""support children's wellbeing"", ""assist in the organisation of school events"", ""supervise children"", ""assist in the organisation of school events"", ""counselling methods""]"
984	Denise Huff	"[""extract materials from furnace"", ""manage emergency procedures"", ""set window"", ""maintain furnace temperature"", ""monitor gauge"", ""ensure health and safety in manufacturing"", ""measure furnace temperature"", ""measure furnace temperature"", ""process incident reports for prevention"", ""handle touristic quantitative data"", ""measure furnace temperature"", ""ensure public safety and security"", ""record production data for quality control"", ""record production data for quality control"", ""test edge crush""]"
985	Helen Kitchen	"[""maintain store cleanliness"", ""keep up with innovations in food manufacturing"", ""apply numeracy skills"", ""textile measurement"", ""ensure compliance with legal requirements"", ""guarantee customer satisfaction"", ""characteristics of services"", ""write Georgian"", ""characteristics of services"", ""textile industry"", ""e-commerce systems"", ""provide customer follow-up services"", ""textile industry"", ""use different communication channels"", ""protect the environment from the impact of the digital technologies""]"
986	Mary Hamill	"[""facilitate healthcare user's engagement in occupations"", ""read maps"", ""lip reading"", ""operate fishing equipment"", ""risk management"", ""etiopathy"", ""historic public speakers"", ""assess nature of injury in emergency"", ""protection from natural elements"", ""rope lashing"", ""encourage students to acknowledge their achievements"", ""compass navigation"", ""guarantee students' safety"", ""lead hiking trips"", ""use rigging tools""]"
987	James Wirth	"[""develop alternative mining methods"", ""create musical structures"", ""attend read-through"", ""ensure fulfilment of legal requirements"", ""copyright legislation"", ""perform project management"", ""audiovisual products"", ""operate an audio mixing console"", ""marketing principles"", ""marketing principles"", ""occupational medicine"", ""operate an audio mixing console"", ""record multi-track sound"", ""attend read-through"", ""record multi-track sound""]"
988	Brad Weber	"[""operate wave soldering machine"", ""IPC standards"", ""apply health and safety standards"", ""tourism sector policies"", ""quality standards"", ""oversee logistics of finished products"", ""manage care of veterinary patients in accommodation"", ""dispose of hazardous waste"", ""use CAM software"", ""printed circuit boards"", ""ensure conformity to specifications"", ""coat printed circuit board"", ""quality standards"", ""operate SMT placement equipment"", ""improve conditions of second-hand merchandise""]"
989	Randy Rodriguez	"[""have computer literacy"", ""perform financial risk management in international trade"", ""operate concrete pumps"", ""create solutions to problems"", ""hazardous freight regulations"", ""carry out statistical forecasts"", ""manage staff"", ""perform multiple tasks at the same time"", ""manage financial risk"", ""metal and metal ore products"", ""track shipping sites"", ""spirits development"", ""perform multiple tasks at the same time"", ""minimise shipping cost"", ""analyse health problems within a given community""]"
990	Bradley Bell	"[""perform software recovery testing"", ""install lockable devices"", ""collect oil samples"", ""monitor system performance"", ""replicate customer software issues"", ""plan tiling"", ""MDX"", ""SPARQL"", ""monitor system performance"", ""perform software recovery testing"", ""address problems critically"", ""measure software usability"", ""conduct ICT code review"", ""solve ICT system problems"", ""report test findings""]"
991	Mary Nguyen	"[""perform improvisation"", ""psychological counselling methods"", ""psychological diagnostics"", ""follow clinical guidelines"", ""understand spoken Hindi"", ""monitor therapeutic progress"", ""client-centred counselling"", ""work on the effects of abuse"", ""crisis intervention"", ""psychological diagnostics"", ""understand spoken Armenian"", ""psychological counselling methods"", ""follow clinical guidelines"", ""prescribe medication"", ""use clinical assessment techniques""]"
992	Neil Dowell	"[""3D texturing"", ""create animated narratives"", ""principles of animation"", ""operate 3D computer graphics software"", ""manage schedule of tasks"", ""particle animation"", ""develop personalised massage plan"", ""principles of animation"", ""maintain sound equipment"", ""particle animation"", ""render 3D images"", ""operate 3D computer graphics software"", ""3D texturing"", ""monitor train schedules"", ""3D lighting""]"
993	Ginger Snow	"[""characteristics of products"", ""maintain relationship with customers"", ""implement marketing strategies"", ""advise on use of land"", ""compare survey computations"", ""apply technical communication skills"", ""mining, construction and civil engineering machinery products"", ""characteristics of services"", ""supervise sales activities"", ""prospect new customers"", ""contact customers"", ""mining, construction and civil engineering machinery products"", ""supervise sales activities"", ""check quality of products on the production line"", ""record customers' personal data""]"
994	Gary Scott	"[""non-ferrous metal processing"", ""supervise work"", ""move filled moulds"", ""follow manufacturing work schedule"", ""manufacturing of jewellery"", ""customer relationship management"", ""non-ferrous metal processing"", ""facilitate motor skill activities"", ""OmniPage"", ""maintain cores"", ""move filled moulds"", ""mark processed workpiece"", ""select mould types"", ""precious metal processing"", ""attend to detail in casting processes""]"
995	Susan Macpherson	"[""apply restoration techniques"", ""tend weaving machines"", ""sew pieces of fabric"", ""cut fabrics"", ""apply footwear and leather goods quality control techniques"", ""ensure quality of aeronautical information management services"", ""operate handheld riveting equipment"", ""apply machine cutting techniques for footwear and leather goods"", ""dip tank parts"", ""apply restoration techniques"", ""carry out measurements of parts"", ""apply restoration techniques"", ""prepare pieces for joining"", ""apply machine cutting techniques for footwear and leather goods"", ""determine itineraries of bulk trucks""]"
996	Dennis Potts	"[""keep competences about irrigation systems up-to-date"", ""water reuse"", ""water policies"", ""compute irrigation pressure"", ""ensure quality assurance for pharmaceutical products"", ""develop irrigation strategies"", ""water policies"", ""water reuse"", ""keep competences about irrigation systems up-to-date"", ""water policies"", ""operate life-saving appliances"", ""measure water flow"", ""fire prevention procedures"", ""family therapy"", ""perform water testing procedures""]"
997	John Parman	"[""operate welding equipment"", ""assess operating cost"", ""CAE software"", ""create technical plans"", ""advise on manufacturing problems"", ""calculate aircraft weight"", ""advise on manufacturing problems"", ""mechanics"", ""manufacturing processes"", ""use diagnostic tools for electronic repairs"", ""read standard blueprints"", ""conduct psychological assessement"", ""analyse production processes for improvement"", ""advise on manufacturing problems"", ""CAD software""]"
998	Albert Bamford	"[""footwear materials"", ""use IT tools"", ""footwear equipments"", ""footwear equipments"", ""pre-stitching processes and techniques for footwear and leather goods"", ""leather goods components"", ""footwear materials"", ""footwear machinery"", ""decide upon a psychotherapeutic approach"", ""footwear manufacturing technology"", ""footwear machinery"", ""process medical insurance claims"", ""manage advocacy strategies"", ""apply basic rules of maintenance to leather goods and footwear machinery"", ""leather goods quality""]"
999	Rocky Sunderland	"[""liaise with engineers"", ""use testing equipment"", ""issue sales invoices"", ""secure working area"", ""maintain diving equipment"", ""record test data"", ""record test data"", ""operate meat processing equipment"", ""operate precision measuring equipment"", ""resolve equipment malfunctions"", ""secure working area"", ""resolve equipment malfunctions"", ""demonstrate specialisation in a dance tradition"", ""write records for repairs"", ""write records for repairs""]"
1000	Bertha Arnold	"[""safe management of medicines"", ""inform policy makers on health-related challenges"", ""perform laboratory tests"", ""contribute to registration of pharmaceutical products"", ""create coffee flavour profiles"", ""safe management of medicines"", ""maintain medical devices"", ""comply with railway safety standards"", ""manufacture medicines"", ""pharmaceutical technology"", ""pharmacognosy"", ""supervise legal case procedures"", ""pharmaceutical chemistry"", ""safe management of medicines"", ""ensure pharmacovigilance""]"
1001	Mathew Jeter	"[""manage health and safety standards"", ""recruit employees"", ""handle financial transactions"", ""manage health and safety standards"", ""create solutions to problems"", ""fish welfare regulations"", ""greet guests"", ""manage health and safety standards"", ""follow up complaint reports"", ""support social service users to live at home"", ""manage health and safety standards"", ""handle customer complaints"", ""implement marketing strategies"", ""local area tourism industry"", ""manage budgets""]"
1002	Anthony Clancy	"[""legislation in agriculture"", ""lead process optimisation"", ""regulation on the discharge of raw materials into the sea"", ""conduct performance tests"", ""gas contaminant removal processes"", ""mechanics of trains"", ""perform maintenance on locomotives"", ""mechatronics"", ""tend thread rolling machine"", ""ensure maintenance of railway machinery"", ""gas dehydration processes"", ""manage supplies"", ""define manufacturing quality criteria"", ""ICT software specifications"", ""operate hydrogen extraction equipment""]"
1003	Patrick Montoya	"[""footwear equipments"", ""maintain mechatronic equipment"", ""use IT tools"", ""use communication techniques"", ""create animated narratives"", ""pre-stitching processes and techniques for footwear and leather goods"", ""use IT tools"", ""pack vegetables or fruits"", ""reduce environmental impact of footwear manufacturing"", ""footwear machinery"", ""use IT tools"", ""pre-stitching processes and techniques for footwear and leather goods"", ""apply basic rules of maintenance to leather goods and footwear machinery"", ""pre-stitching processes and techniques for footwear and leather goods"", ""leather goods materials""]"
1004	Linda Coffelt	"[""guarantee students' safety"", ""contract law"", ""observe student's progress"", ""learning difficulties"", ""project management"", ""guarantee students' safety"", ""fuel inventory methods"", ""manage enrolment"", ""develop professional network"", ""use internet to increase sales"", ""arrange parent teacher conference"", ""promote education programmes"", ""prepare youths for adulthood"", ""labour legislation"", ""company policies""]"
1005	Fidel Casey	"[""create solutions to problems"", ""track shipping sites"", ""manage financial risk"", ""promote communication between parties"", ""track shipping sites"", ""manage freight payment methods"", ""create definitions"", ""communicate with shipment forwarders"", ""supply chain management"", ""develop financial statistics reports"", ""fill nail holes in wood planks"", ""perform financial risk management in international trade"", ""develop financial statistics reports"", ""have computer literacy"", ""supply chain management""]"
1006	Elizabeth Montgomery	"[""manage restaurant service"", ""greet guests"", ""maximise sales revenues"", ""supervise food quality"", ""control of expenses"", ""use office systems"", ""execute opening and closing procedures"", ""assist clients with special needs"", ""manage stock rotation"", ""manage restaurant service"", ""maintain water distribution equipment"", ""manage restaurant service"", ""check prices on the menu"", ""maintain relationship with customers"", ""create vacuum forming mould""]"
1007	Sarah Kono	"[""teamwork principles"", ""manage resources for educational purposes"", ""work with virtual learning environments"", ""present exhibition"", ""cardiovascular system"", ""select subject matter"", ""assessment processes"", ""curriculum objectives"", ""assess conservation needs"", ""prepare lesson content"", ""give constructive feedback"", ""wildlife"", ""monitor developments in field of expertise"", ""measure paper sheets"", ""learning difficulties""]"
1008	Daniel Atkins	"[""get involved in the day-to-day operation of the company"", ""analyse large-scale data in healthcare"", ""analyse business objectives"", ""ensure lawful business operations"", ""business loans"", ""market entry planning"", ""hire new personnel"", ""business loans"", ""keep updated on the political landscape"", ""adhere to standard procedures"", ""company policies"", ""strategic planning"", ""monitor livestock"", ""develop company strategies"", ""create a work atmosphere of continuous improvement""]"
1009	Pamela Viloria	"[""lead healthcare services changes"", ""liaise with managers"", ""adhere to organisational guidelines"", ""supervise waste water treatments"", ""specialist nursing care"", ""supervise laboratory operations"", ""data mining"", ""supervise waste water treatments"", ""recruit employees"", ""monitor automated machines"", ""manage water distribution procedures"", ""develop water purification methods"", ""environmental legislation"", ""supervise waste water treatments"", ""liaise with managers""]"
1010	Angela Boles	"[""diagnose hearing impairement"", ""cosmetics ingredients"", ""characteristics of plants"", ""advise customers on accessories to complement clothing"", ""show samples of wall and floor coverings"", ""floral composition techniques"", ""advise customers on electronic cigarettes"", ""stock market"", ""orthoptics"", ""explain quality of coverings"", ""fish identification and classification"", ""maintain vehicle delivery documentation"", ""execute advertising measures for the vehicles"", ""recommend orthopedic goods to customers depending on their condition"", ""maintain store cleanliness""]"
1011	Agnes Templeton	"[""monitor media industry research figures"", ""develop creative ideas"", ""GameSalad"", ""content marketing strategy"", ""create advertisements"", ""use communication techniques"", ""create media schedule"", ""create content title"", ""create advertisements"", ""examine advertisement layout"", ""perform business research"", ""estimate budget for interior design plans"", ""controlled substances permits"", ""design graphics"", ""use communication techniques""]"
1012	Jane Roten	"[""tend asphalt mixing machine"", ""maintenance of printing machines"", ""operate printing machinery"", ""act as contact person during equipment incident"", ""communicate with customers"", ""follow safety precautions in printing"", ""troubleshoot"", ""operate laser plate maker machine"", ""printing materials"", ""scan negatives"", ""prepare offset printing machine"", ""digitise documents"", ""apply opaque"", ""SketchBook Pro"", ""train staff in quality procedures""]"
1013	Sandra Park	"[""evaluate textile characteristics"", ""dyeing technology"", ""operate wash plant"", ""develop specifications of technical textiles"", ""design warp knit fabrics"", ""challenging issues in the textile industry"", ""design warp knit fabrics"", ""research and development in textiles"", ""use textile finishing machine technologies"", ""textile printing technology"", ""control textile process"", ""diplomatic principles"", ""develop textile colouring recipes"", ""design yarns"", ""sport games rules""]"
1014	Gabriela Mcintyre	"[""apply scientific methods"", ""develop environmental remediation strategies"", ""operate mixing of food products"", ""monitor water quality"", ""conduct field work"", ""botany"", ""microbiology-bacteriology"", ""advise on pollution prevention"", ""manage water quality testing"", ""ensure compliance with environmental legislation"", ""develop environmental policy"", ""set up sound reinforcement system"", ""write scientific papers"", ""test samples for pollutants"", ""schedule fishing""]"
1015	Jason Butler	"[""sociocultural contexts in which animals are kept"", ""safety engineering"", ""robotic components"", ""assemble mechatronic units"", ""assemble robots"", ""prepare production prototypes"", ""design principles"", ""conduct performance tests"", ""analyse test data"", ""electronics"", ""develop film"", ""teach principles of law"", ""mechanics"", ""control production"", ""provide advice to technicians""]"
1016	Cathy Allen	"[""apply requirements concerning manufacturing of food and beverages"", ""deliver aquatic products to customer specifications"", ""carry out checks of production plant equipment"", ""analyse characteristics of food products at reception"", ""perform services in a flexible manner"", ""liaise with managers"", ""carry out inventory planning"", ""tend cocoa cleaning machines"", ""lift heavy weights"", ""act reliably"", ""exert quality control to processing food"", ""analyse characteristics of food products at reception"", ""chiropody"", ""work independently in service of a food production process"", ""liaise with colleagues""]"
1017	Andrew Rollins	"[""engineering processes"", ""report test findings"", ""provide technical documentation"", ""calibrate electronic instruments"", ""design engineering components"", ""quality standards"", ""maintain electronic equipment"", ""develop communication strategies"", ""define technology strategy"", ""document your own practice"", ""electrical engineering"", ""electronic and telecommunication equipment"", ""test electronic units"", ""design prototypes"", ""handle fish products""]"
1018	Donna Terrill	"[""survey sites for pipeline installation"", ""perform pipeline routing studies"", ""ensure compliance with environmental legislation"", ""analyse route possibilities in pipeline projects"", ""perform follow-up on pipeline route services"", ""analyse route possibilities in pipeline projects"", ""prepare timelines for pipeline development projects"", ""perform pipeline routing studies"", ""prevent pipeline deterioration"", ""ensure compliance with environmental legislation"", ""maintain blocking notes"", ""fuel distribution systems"", ""consult with production director"", ""fuel gas"", ""tree preservation and conservation""]"
1019	Mary Wood	"[""distinguish accessories"", ""mass customisation"", ""pleat fabrics"", ""e-tailoring"", ""properties of fabrics"", ""bundle fabrics"", ""make bids in forward auctions"", ""create mood boards"", ""bundle fabrics"", ""test accuracy of surgical instruments"", ""analyse scanned data of the body"", ""correspond with licence applicants"", ""CAD for garment manufacturing"", ""make technical drawings of fashion pieces"", ""measure the human body for wearing apparel""]"
